label,name,packages,version,average_entropy,python_file_count,package_size,contains_ip,contains_domain,contains_bytestrings,contains_base64,contains_import_subprocess,contains_import_os,contains_import_network_modules
1,1,1,1,1.879312444575349,2,1235540,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,1.879153900778648,2,1235517,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,5.214870432890013,1,23510,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,1.8795960096723023,2,1235557,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,1.879844545827341,2,1235580,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,5.21142297846936,1,22961,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,2.764714759459914,2,20625,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,5.574150948191546,1,2770773,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1,1,1,5.2091900873444725,1,22570,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,4.735888004028144,1,34358,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1,1,1,1,5.233844114899481,1,23768,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,5.233731715504111,1,24418,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,5.215723203841676,1,23120,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,4.319346365215577,2,11077,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1,1,1,1,4.509781170698,33,2417430,1.0,1.0,1.0,1.0,0.0,1.0,1.0
1,1,1,1,1.8800372828740837,2,1235605,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,3.912410766509883,2,8161,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,1,1,1,4.326309804700034,2,11143,0.0,1.0,0.0,1.0,0.0,1.0,1.0
